start_tz,start,end_tz,end,activity
UTC,1475738430,UTC,1475740554,work
UTC,1475741669,UTC,1475743836,work
UTC,1475755202,UTC,1475759931,work
UTC,1475826028,UTC,1475829358,work
UTC,1475830955,UTC,1475842707,work
UTC,1475842707,UTC,1475849927,uni
UTC,1475849927,UTC,1475851620,work
UTC,1475855245,UTC,1475856364,uni
UTC,1475859960,UTC,1475862560,uni
UTC,1475926246,UTC,1475930883,uni
UTC,1476009985,UTC,1476012276,uni
UTC,1476014569,UTC,1476024374,uni
UTC,1476033276,UTC,1476039657,uni
UTC,1476045401,UTC,1476049423,uni
UTC,1476086230,UTC,1476096926,uni
UTC,1476101088,UTC,1476114088,uni
UTC,1476131726,UTC,1476134422,uni
UTC,1476134422,UTC,1476141568,work
UTC,1476173281,UTC,1476195175,uni
UTC,1476212159,UTC,1476224540,work
UTC,1476259702,UTC,1476284608,uni
UTC,1476345817,UTC,1476354802,uni
UTC,1476367209,UTC,1476391544,uni
UTC,1476436594,UTC,1476442701,uni
UTC,1476446754,UTC,1476455817,uni
UTC,1476470942,UTC,1476481638,uni
UTC,1476532369,UTC,1476533296,uni
UTC,1476537587,UTC,1476540004,uni
UTC,1476545176,UTC,1476546717,uni
UTC,1476608208,UTC,1476612421,uni
UTC,1476615510,UTC,1476619168,uni
UTC,1476633222,UTC,1476635752,uni
UTC,1476640755,UTC,1476643298,uni
UTC,1476689751,UTC,1476692012,work
UTC,1476693857,UTC,1476694433,work
UTC,1476699243,UTC,1476702092,work
UTC,1476707031,UTC,1476707855,work
UTC,1476709444,UTC,1476716300,work
